component,body,L_mm,W_mm,H_mm,volume_mm3,appearance,quantity,visibility,measurement_type
Sofa Internal Structure,Body1,12.0,680.0,790.0,2268720.0,Mahogany - Semigloss,1,Internal,Continuous
Sofa Internal Structure,Body2,12.0,680.0,790.0,2268720.0,Mahogany - Semigloss,1,Internal,Continuous
Sofa Internal Structure,Body4,1575.0,25.0,65.0,2559375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body5,1575.0,44.86,33.93,1575000.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body6,1575.0,65.0,25.0,2559375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body7,40.0,25.0,500.0,500000.0,Oak - Glossy,1,Internal,Discrete
Sofa Internal Structure,Body8,40.0,25.0,500.0,500000.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body9,1575.0,65.0,25.0,2559375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body10,25.0,60.0,500.0,585614.34,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body11,25.0,60.0,500.0,585614.34,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body13,1575.0,25.0,40.0,1575000.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body14,1575.0,40.0,25.0,1575000.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body15,65.0,25.0,725.0,1178125.01,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body16,40.0,378.73,117.18,384079.12,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body17,40.0,378.73,117.18,384079.12,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body18,65.0,128.0,25.0,208000.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body21,25.0,655.0,65.0,1064375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body22,40.0,374.76,116.19,380000.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body23,25.0,65.0,141.57,230051.24,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body24,25.0,225.0,65.0,365625.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body25,25.0,65.0,170.0,276250.01,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body26,25.0,225.0,65.0,365625.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body27,25.0,65.0,170.0,276250.01,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body28,65.0,150.0,25.0,243750.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body29,65.0,150.0,25.0,243750.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body7 (1),20.0,16.0,22.0,671.23,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body7 (1) (2),20.0,10.49,13.56,276.66,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body53,52.0,4.0,529.0,16878.75,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body54,52.0,4.0,529.0,16878.75,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body55,52.0,4.0,529.0,16878.75,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body56,52.0,4.0,529.0,16878.75,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body57,52.0,4.0,529.0,16878.75,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body58,52.0,4.0,529.0,16878.75,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body59,52.0,4.0,529.0,16878.75,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body60,52.0,4.0,529.0,16878.75,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body61,52.0,4.0,529.0,16878.75,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body62,52.0,4.0,529.0,16878.75,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body63,52.0,4.0,529.0,16878.75,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body67,1572.42,12.92,70.0,165387.69,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body68,1572.42,12.92,70.0,165387.69,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body69,1572.42,12.92,70.0,165387.69,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body70,50.0,412.58,104.32,30171.78,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body71,50.0,412.54,104.32,31516.22,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body72,1550.07,49.88,17.59,115925.78,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body73,1552.62,50.11,18.39,116120.09,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body74,1550.07,49.88,17.59,115925.78,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body75,50.0,412.58,104.32,30171.78,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body76,50.0,412.54,104.32,31516.22,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body77,50.0,412.58,104.32,30171.78,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body78,50.0,412.54,104.32,31516.22,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body79,50.0,412.58,104.32,30171.78,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body80,50.0,412.54,104.32,31516.22,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body81,50.0,412.58,104.32,30171.78,Steel - Satin,1,Internal,Discrete
Sofa Internal Structure,Body82,50.0,412.54,104.32,31516.22,Steel - Satin,1,Internal,Discrete
