component,body,Category,L_mm,W_mm,H_mm,volume_mm3,appearance,quantity,visibility,measurement_type
Sofa Internal Structure,Body1,Plywood,12.0,680.0,790.0,2268720.0,Mahogany - Semigloss,1,Internal,Continuous
Sofa Internal Structure,Body2,Plywood,12.0,680.0,790.0,2268720.0,Mahogany - Semigloss,1,Internal,Continuous
Sofa Internal Structure,Body4,Wood Frame,1575.0,25.0,65.0,2559375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body5,Wood Frame,1575.0,44.86,33.93,1575000.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body6,Wood Frame,1575.0,65.0,25.0,2559375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body7,Clips,40.0,25.0,500.0,500000.0,Oak - Glossy,1,Internal,Discrete
Sofa Internal Structure,Body8,Wood Frame,40.0,25.0,500.0,500000.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body9,Wood Frame,1575.0,65.0,25.0,2559375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body10,Wood Frame,25.0,60.0,500.0,585614.34,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body11,Wood Frame,25.0,60.0,500.0,585614.34,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body13,Wood Frame,1575.0,25.0,40.0,1575000.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body14,Wood Frame,1575.0,40.0,25.0,1575000.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body15,Wood Frame,65.0,25.0,725.0,1178125.01,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body16,Wood Frame,40.0,378.73,117.18,384079.12,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body17,Wood Frame,40.0,378.73,117.18,384079.12,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body18,Wood Frame,65.0,128.0,25.0,208000.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body21,Wood Frame,25.0,655.0,65.0,1064375.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body22,Wood Frame,40.0,374.76,116.19,380000.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body23,Wood Frame,25.0,65.0,141.57,230051.24,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body24,Wood Frame,25.0,225.0,65.0,365625.0,Oak - Glossy,1,Internal,Continuous
Sofa Internal Structure,Body25,Wood Frame,25.0,65.0,170.0,276250.01,Oak - Glossy,1,Internal,Continuous
