Component,Body,Length_mm,Width_mm,Height_mm,Volume_mm3,Appearance
Sofa 3D sample,Body1,2.5,12.12,59.44,885.84,Powder Coat - Rough (Yellow)
Sofa 3D sample,Body7,2.0,2.2,1.6,0.67,Steel - Satin
Sofa 3D sample,Body9,157.42,6.1,2.5,2133.57,Powder Coat - Rough (Yellow)
Sofa 3D sample,Body13,157.39,44.5,3.13,4291.61,Powder Coat - Rough (Yellow)
Sofa 3D sample,Body16,157.43,2.63,7.54,2951.68,Powder Coat - Rough (Yellow)
Sofa 3D sample,Body19,2.5,0.11,0.01,0.0,Steel - Satin
Sofa 3D sample,Body20,48.78,4.31,5.58,609.73,Powder Coat - Rough (Yellow)
Sofa 3D sample,Body32,13.0,7.01,2.52,113.75,Powder Coat - Rough (Yellow)
Sofa 3D sample,Body33,13.0,7.01,2.54,113.75,Powder Coat - Rough (Yellow)
Sofa 3D sample,Body36,13.0,7.01,2.54,113.75,Powder Coat - Rough (Yellow)
Sofa 3D sample,Body37,13.0,7.01,2.52,113.75,Powder Coat - Rough (Yellow)
Sofa 3D sample,Body38,7.0,13.02,3.27,145.6,Powder Coat - Rough (Yellow)
Sofa 3D sample,Body41,7.0,13.02,3.27,145.6,Powder Coat - Rough (Yellow)
Sofa 3D sample,cloth,157.4,55.53,5.3,43279.53,Powder Coat - Rough (Dark Grey)
Sofa 3D sample,Body143,2.5,16.86,41.03,493.24,Powder Coat - Rough (Yellow)
Sofa 3D sample,Body146,51.28,8.09,17.76,60.51,Powder Coat - Rough (Black)
Sofa 3D sample,Body171,4.98,8.09,17.76,10.89,Powder Coat - Rough (Black)
Sofa 3D sample,Body212,157.4,54.35,5.34,42822.23,Powder Coat - Rough (Red)
Sofa 3D sample,Body214,157.4,2.64,11.65,4462.25,Powder Coat - Rough (Dark Grey)
Sofa 3D sample,Body220,5.51,12.49,0.88,7.25,Steel - Satin
Sofa 3D sample,Body223,5.51,12.49,0.88,7.24,Steel - Satin
Sofa 3D sample,Body246,0.1,83.31,68.52,392.26,Glass (Clear)
Sofa 3D sample,cloth (1) (1) (1),176.3,83.42,68.74,2571.51,Powder Coat - Rough (Green)
Sofa 3D sample,Body286,157.42,2.5,7.5,2951.64,Powder Coat - Rough (Yellow)
Sofa 3D sample,Body297,2.0,2.2,1.6,0.67,Steel - Satin
