body,scaled_L_mm,scaled_W_mm,scaled_H_mm,scaled_min_x_mm,scaled_min_y_mm,scaled_min_z_mm,scaled_max_x_mm,scaled_max_y_mm,scaled_max_z_mm,scaled_center_x_mm,scaled_center_y_mm,scaled_center_z_mm
seat_top,1872.0,398.81,396.0,-936.0,38.68,-110.51,936.0,437.48,285.49,0.0,238.08,87.49
seat_front,1872.0,115.92,198.0,-936.0,115.66,309.72,936.0,231.58,507.72,0.0,173.62,408.72
right_armrest_top,237.31,194.79,507.48,777.89,255.16,-256.74,1015.19,449.96,250.74,896.54,352.56,-3.0
left_armrest_top,237.31,194.79,507.48,-1015.19,255.16,-256.74,-777.89,449.96,250.74,-896.54,352.56,-3.0
right_armrest_front,259.71,235.29,7.91,775.17,218.32,385.05,1034.89,453.6,392.95,905.03,335.96,389.0
left_armrest_front,259.71,235.29,7.91,-1034.89,218.32,385.05,-775.17,453.6,392.95,-905.03,335.96,389.0
right_armrest_top (1),50.69,92.32,523.96,971.85,325.73,-264.48,1022.55,418.05,259.48,997.2,371.89,-2.5
right_armrest_base,285.14,387.0,541.09,778.83,-27.46,-273.05,1063.97,359.54,268.05,921.4,166.04,-2.5
left_armrest_top (1),50.69,92.32,523.96,-1022.55,325.73,-264.48,-971.85,418.05,259.48,-997.2,371.89,-2.5
left_armrest_base,285.14,387.0,541.09,-1063.97,-27.46,-273.05,-778.83,359.54,268.05,-921.4,166.04,-2.5
