epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.0826,1.70364,3.88902,4.07748,1.50594,0.0025,0.11139,0.01716,0.00886,0.00492,0.23129,0.03834,0.01688,1.38499,2.469,4.2155,1.58283,3.636e-05,3.636e-05,3.636e-05
2,138.479,1.39512,3.13069,3.97381,1.31376,0.00616,0.2432,0.02127,0.00974,0.0071,0.28571,0.02925,0.01453,1.23269,2.08463,4.15269,1.47605,8.10001e-05,8.10001e-05,8.10001e-05
3,192.196,1.16313,2.48667,3.74701,1.19504,0.00935,0.31803,0.04029,0.02427,0.01261,0.40635,0.05184,0.02731,1.16618,1.97132,4.07832,1.40258,0.00012474,0.00012474,0.00012474
4,250.507,1.19296,2.36799,3.62436,1.22732,0.01788,0.57364,0.17322,0.10299,0.01935,0.58413,0.17496,0.10889,0.94082,1.64609,3.86785,1.15376,0.000167581,0.000167581,0.000167581
5,292.598,1.06471,2.02287,3.43193,1.11342,0.01861,0.64966,0.28696,0.19394,0.01886,0.64921,0.25342,0.17276,0.90362,1.5747,3.71841,1.06529,0.000209521,0.000209521,0.000209521
6,334.942,1.00115,1.83042,3.13857,1.08933,0.01915,0.69756,0.31334,0.21338,0.01874,0.67823,0.27774,0.18365,0.93222,1.60388,3.67111,1.05999,0.000250561,0.000250561,0.000250561
7,379.274,0.86016,1.58068,2.91051,1.05408,0.01855,0.69802,0.31847,0.22971,0.01801,0.67647,0.27557,0.21049,0.94404,1.61384,3.5713,1.06746,0.000290702,0.000290702,0.000290702
8,419.423,1.06657,1.78968,2.73356,1.13556,0.01882,0.71434,0.30825,0.23013,0.01923,0.73282,0.27597,0.21551,0.96089,1.57727,3.51616,1.05983,0.000329942,0.000329942,0.000329942
9,464.7,0.95089,1.63774,2.53898,1.09644,0.01799,0.7013,0.30039,0.22336,0.01905,0.74212,0.27776,0.21321,0.95405,1.56733,3.42996,1.05744,0.000368283,0.000368283,0.000368283
10,506.726,1.00657,1.43082,2.53742,1.15406,0.70343,0.11158,0.31388,0.23296,0.70343,0.11158,0.30187,0.23322,0.95624,1.26154,3.25749,1.06643,0.000405724,0.000405724,0.000405724
11,548.972,1.00529,1.42587,2.45903,1.12263,0.68829,0.15509,0.35432,0.26633,0.68829,0.15509,0.3325,0.26501,0.99943,1.36739,3.15516,1.09035,0.000442265,0.000442265,0.000442265
12,599.674,0.985,1.80439,2.30173,1.08415,0.5451,0.18278,0.38472,0.27988,0.54193,0.17402,0.3777,0.28006,0.98616,1.37967,3.04636,1.07947,0.000477906,0.000477906,0.000477906
13,690.853,0.9657,1.46639,2.3469,1.09701,0.5159,0.2455,0.37068,0.25759,0.48473,0.22133,0.34202,0.25586,0.98847,1.28236,2.97011,1.07954,0.000512647,0.000512647,0.000512647
14,770.288,0.98987,1.53608,2.14888,1.08404,0.5159,0.2455,0.37068,0.25759,0.48473,0.22133,0.34202,0.25586,0.98847,1.28236,2.97011,1.07954,0.000546488,0.000546488,0.000546488
15,818.931,0.89091,1.50299,2.16106,1.04775,0.56637,0.33639,0.39798,0.26568,0.52584,0.29737,0.33928,0.25709,0.99722,1.31017,2.86962,1.08675,0.000579429,0.000579429,0.000579429
16,866.033,1.02815,1.5536,2.11997,1.12591,0.56268,0.35637,0.39658,0.28292,0.52236,0.31963,0.34745,0.26132,1.02656,1.39183,2.77008,1.10662,0.000611471,0.000611471,0.000611471
17,907.863,0.93754,1.28976,1.99466,1.09302,0.52522,0.41769,0.45705,0.34073,0.4822,0.38095,0.40015,0.31566,0.94232,1.15982,2.60988,1.06107,0.000642612,0.000642612,0.000642612
18,1048.62,0.96417,1.59383,1.9654,1.0621,0.52522,0.41769,0.45705,0.34073,0.4822,0.38095,0.40015,0.31566,0.94232,1.15982,2.60988,1.06107,0.000672854,0.000672854,0.000672854
19,1114.71,0.94333,1.36999,2.05152,1.09365,0.53555,0.42612,0.44492,0.33165,0.47812,0.39979,0.39444,0.30075,0.94244,1.10552,2.52424,1.07508,0.000702195,0.000702195,0.000702195
20,1160.5,1.13486,1.47821,2.25848,1.14945,0.52493,0.45885,0.4522,0.3331,0.48589,0.40766,0.39445,0.31317,1.01653,1.14068,2.45388,1.10256,0.000730637,0.000730637,0.000730637
21,1208.91,0.92456,1.01163,1.88454,1.02932,0.52493,0.45885,0.4522,0.3331,0.48589,0.40766,0.39445,0.31317,1.01653,1.14068,2.45388,1.10256,0.000729018,0.000729018,0.000729018
22,1256.41,0.96943,1.31083,1.91683,1.0666,0.3892,0.51988,0.45221,0.32442,0.35873,0.48995,0.40961,0.32124,1.04055,1.21293,2.4398,1.13967,0.000720019,0.000720019,0.000720019
23,1299.1,1.00415,1.38473,1.89765,1.03633,0.38806,0.56367,0.47473,0.33576,0.36768,0.53095,0.43035,0.34168,1.06933,1.23845,2.36455,1.14333,0.00071102,0.00071102,0.00071102
24,1341.67,0.95814,1.34341,1.93747,1.06181,0.38806,0.56367,0.47473,0.33576,0.36768,0.53095,0.43035,0.34168,1.06933,1.23845,2.36455,1.14333,0.000702021,0.000702021,0.000702021
25,1386.11,1.00966,1.27754,1.94825,1.09363,0.42785,0.54097,0.48888,0.34771,0.40125,0.52845,0.44916,0.35138,1.07065,1.22629,2.20868,1.11873,0.000693022,0.000693022,0.000693022
26,1431.19,1.08657,1.52364,1.98051,1.13373,0.42785,0.54097,0.48888,0.34771,0.40125,0.52845,0.44916,0.35138,1.07065,1.22629,2.20868,1.11873,0.000684022,0.000684022,0.000684022
27,1493.19,0.88193,1.25354,1.83347,1.07773,0.37721,0.53968,0.50335,0.37025,0.37604,0.5424,0.47072,0.38103,0.99161,1.16226,2.08766,1.09013,0.000675023,0.000675023,0.000675023
28,2231.64,0.87035,1.27014,1.80933,1.0282,0.34076,0.601,0.46521,0.35426,0.34772,0.55548,0.43437,0.34765,0.93515,1.38937,2.0376,1.07226,0.000666024,0.000666024,0.000666024
29,2317.73,0.90256,1.24246,1.77251,1.03019,0.34076,0.601,0.46521,0.35426,0.34772,0.55548,0.43437,0.34765,0.93515,1.38937,2.0376,1.07226,0.000657025,0.000657025,0.000657025
30,10871.7,0.89395,1.25636,1.72278,1.02959,0.30242,0.57514,0.40622,0.31219,0.29493,0.57531,0.37528,0.29737,0.89538,1.27535,2.11437,1.04205,0.000648026,0.000648026,0.000648026
31,15855.1,0.93138,1.33848,1.72171,1.04804,0.34852,0.60194,0.39519,0.29549,0.31355,0.57579,0.3485,0.2766,0.8886,1.12903,2.15433,1.03147,0.000639027,0.000639027,0.000639027
32,25374.3,0.86743,1.07371,1.66704,1.0211,0.34852,0.60194,0.39519,0.29549,0.31355,0.57579,0.3485,0.2766,0.8886,1.12903,2.15433,1.03147,0.000630028,0.000630028,0.000630028
33,25476.1,0.84756,1.54903,1.6681,0.97054,0.38046,0.62139,0.40033,0.28727,0.33416,0.58903,0.3486,0.27675,0.90484,1.14276,2.12806,1.05404,0.000621029,0.000621029,0.000621029
34,25536.7,0.90787,1.27273,1.71325,1.08362,0.38046,0.62139,0.40033,0.28727,0.33416,0.58903,0.3486,0.27675,0.90484,1.14276,2.12806,1.05404,0.00061203,0.00061203,0.00061203
35,25676.4,0.9009,1.29614,1.82303,1.05746,0.36264,0.67366,0.38498,0.28232,0.32821,0.63879,0.34717,0.26523,0.84079,1.12222,2.11024,1.03962,0.000603031,0.000603031,0.000603031
36,25752,0.83427,1.01989,1.73882,1.04404,0.35543,0.67075,0.43115,0.31975,0.33695,0.63271,0.40191,0.31378,0.86868,1.0888,2.09691,1.03955,0.000594031,0.000594031,0.000594031
37,25926.4,0.83641,1.2056,1.65061,1.01648,0.35543,0.67075,0.43115,0.31975,0.33695,0.63271,0.40191,0.31378,0.86868,1.0888,2.09691,1.03955,0.000585032,0.000585032,0.000585032
38,26032.3,0.85995,1.13429,1.66816,1.00773,0.34813,0.67797,0.40969,0.30057,0.32121,0.62827,0.38413,0.30042,0.87827,1.03027,2.087,1.04453,0.000576033,0.000576033,0.000576033
39,26112.5,0.8291,1.09729,1.63318,1.01142,0.32613,0.68013,0.40328,0.3061,0.2947,0.63249,0.37318,0.29813,0.87512,0.97304,2.05127,1.04612,0.000567034,0.000567034,0.000567034
40,26159.7,0.85639,1.23894,1.65679,1.02454,0.32613,0.68013,0.40328,0.3061,0.2947,0.63249,0.37318,0.29813,0.87512,0.97304,2.05127,1.04612,0.000558035,0.000558035,0.000558035
41,27596.3,0.89981,1.17502,1.67926,1.05274,0.33028,0.53474,0.38401,0.29372,0.31351,0.53867,0.36302,0.28656,0.86129,0.9731,2.06535,1.04685,0.000549036,0.000549036,0.000549036
42,28353.1,0.81173,1.01746,1.62657,0.99109,0.33028,0.53474,0.38401,0.29372,0.31351,0.53867,0.36302,0.28656,0.86129,0.9731,2.06535,1.04685,0.000540037,0.000540037,0.000540037
43,28450.5,0.89459,0.98257,2.04675,1.04851,0.3666,0.49303,0.3448,0.26293,0.2651,0.63674,0.32336,0.24992,0.85358,0.95939,2.13776,1.04834,0.000531038,0.000531038,0.000531038
44,28495.3,0.80826,1.11083,1.57825,0.98794,0.30047,0.64951,0.33428,0.2527,0.27602,0.62959,0.31561,0.24274,0.82852,0.94752,2.23367,1.03723,0.000522039,0.000522039,0.000522039
45,29545.5,0.7799,1.15826,1.48676,0.97557,0.30047,0.64951,0.33428,0.2527,0.27602,0.62959,0.31561,0.24274,0.82852,0.94752,2.23367,1.03723,0.00051304,0.00051304,0.00051304
46,29650.7,0.81948,0.96404,1.54881,0.999,0.32482,0.6,0.3594,0.27539,0.276,0.62828,0.32991,0.258,0.83519,1.01119,2.24789,1.04645,0.00050404,0.00050404,0.00050404
47,29963.8,0.76499,1.07778,1.54856,1.02117,0.34389,0.63716,0.39738,0.30848,0.29787,0.60662,0.36576,0.28212,0.81896,1.0864,2.13513,1.04197,0.000495041,0.000495041,0.000495041
48,30064.3,0.89028,1.23937,1.77192,1.06255,0.34389,0.63716,0.39738,0.30848,0.29787,0.60662,0.36576,0.28212,0.81896,1.0864,2.13513,1.04197,0.000486042,0.000486042,0.000486042
49,30197.2,0.76966,0.91493,1.49056,1.0401,0.3696,0.5599,0.41778,0.32808,0.33706,0.53315,0.39052,0.30367,0.81472,0.99108,2.12658,1.03972,0.000477043,0.000477043,0.000477043
50,30241.4,0.83493,1.24642,1.57835,1.01355,0.3696,0.5599,0.41778,0.32808,0.33706,0.53315,0.39052,0.30367,0.81472,0.99108,2.12658,1.03972,0.000468044,0.000468044,0.000468044
51,30288.8,0.77786,1.01319,1.43217,0.98507,0.35184,0.60567,0.43736,0.33948,0.31012,0.56366,0.41156,0.31945,0.81871,0.93115,2.09516,1.04517,0.000459045,0.000459045,0.000459045
