epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,230.059,1.1508,2.99574,3.39644,1.25867,0,0.02854,0.67165,0.29617,0.20593,0.02307,0.57551,0.20044,0.13901,1.02049,2.00339,3.4367,1.2087,0,0.000271496,0.000271496,0.000271496
2,541.168,1.07552,2.10456,2.10168,1.19571,0,0.7403,0.47917,0.57492,0.37189,0.6317,0.3625,0.46033,0.30667,1.23878,1.96591,2.35098,1.34721,0,0.000543726,0.000543726,0.000543726
3,947.142,1.04103,1.9218,1.67787,1.17331,0,0.7317,0.51007,0.58803,0.39896,0.62274,0.38626,0.4651,0.31398,1.15509,1.73906,1.82135,1.39137,0,0.000810458,0.000810458,0.000810458
4,1337.42,0.98836,1.84187,1.50251,1.15601,0,0.57273,0.54746,0.59481,0.37623,0.49065,0.43913,0.46749,0.32796,1.14856,1.45965,2.02663,1.35109,0,0.00080826,0.00080826,0.00080826
5,1659.14,0.97118,1.79029,1.41065,1.14587,0,0.51829,0.60801,0.61878,0.42029,0.43386,0.50366,0.49892,0.34033,1.12997,1.62414,1.66584,1.30129,0,0.000800013,0.000800013,0.000800013
6,1971.73,0.94514,1.73305,1.34555,1.13822,0,0.59382,0.54964,0.5917,0.40418,0.47376,0.4231,0.46558,0.30493,1.08382,1.59671,1.64398,1.22138,0,0.000791767,0.000791767,0.000791767
7,2270.23,0.93794,1.67512,1.2883,1.12427,0,0.56018,0.64461,0.6334,0.46236,0.45918,0.52185,0.51976,0.39421,1.04179,1.4675,1.53187,1.22058,0,0.00078352,0.00078352,0.00078352
8,2548.92,0.91472,1.63878,1.24838,1.1058,0,0.60971,0.63968,0.63765,0.44474,0.50383,0.51885,0.51739,0.37062,1.08942,1.4343,1.53957,1.25956,0,0.000775273,0.000775273,0.000775273
9,2813.98,0.85592,1.5632,1.19684,1.08379,0,0.52009,0.66751,0.63281,0.47331,0.40102,0.5535,0.51382,0.34101,0.93599,1.55089,1.54516,1.15801,0,0.000767026,0.000767026,0.000767026
10,3056.39,0.85989,1.59174,1.17626,1.08994,0,0.5864,0.69159,0.62681,0.45471,0.47813,0.57492,0.51708,0.36896,0.98266,1.32504,1.60164,1.20011,0,0.00075878,0.00075878,0.00075878
11,3276.56,0.83607,1.56247,1.13201,1.07496,0,0.5705,0.66362,0.64911,0.47261,0.44558,0.53959,0.53465,0.37044,0.93179,1.51033,1.47247,1.15398,0,0.000750533,0.000750533,0.000750533
12,3502.54,0.80572,1.50819,1.09522,1.05572,0,0.63771,0.58293,0.66065,0.48985,0.52926,0.47188,0.54495,0.39755,0.97114,1.47726,1.42296,1.19406,0,0.000742286,0.000742286,0.000742286
13,3762.1,0.82659,1.55741,1.11325,1.06533,0,0.6062,0.72311,0.67772,0.51588,0.48837,0.62031,0.56254,0.41917,0.89703,1.44142,1.43537,1.15853,0,0.00073404,0.00073404,0.00073404
14,4009.79,0.79915,1.46614,1.0732,1.05554,0,0.604,0.63511,0.65053,0.4592,0.52234,0.52667,0.53484,0.38185,1.11136,1.4084,1.50957,1.2911,0,0.000725793,0.000725793,0.000725793
15,4323.45,0.77923,1.45689,1.06777,1.05005,0,0.56907,0.694,0.64446,0.46813,0.45546,0.569,0.52184,0.37575,0.96899,1.50927,1.45239,1.17158,0,0.000717546,0.000717546,0.000717546
16,4602.1,0.81082,1.41984,1.04388,1.058,0,0.72586,0.62938,0.64822,0.47968,0.61661,0.51321,0.53997,0.39176,1.00077,1.45674,1.46814,1.21163,0,0.000709299,0.000709299,0.000709299
17,4853.3,0.79307,1.46175,1.04641,1.05555,0,0.60558,0.66961,0.66487,0.49536,0.48773,0.55295,0.54952,0.40746,0.96487,1.60512,1.42899,1.16161,0,0.000701053,0.000701053,0.000701053
18,5095.98,0.76903,1.41427,1.00717,1.03646,0,0.61348,0.70369,0.66382,0.49675,0.49278,0.58024,0.53973,0.40029,0.91686,1.48017,1.43564,1.16648,0,0.000692806,0.000692806,0.000692806
19,5308.74,0.7677,1.35372,0.98507,1.03399,0,0.63284,0.71596,0.69518,0.53422,0.53261,0.60763,0.58017,0.43681,0.91944,1.35388,1.3096,1.14741,0,0.000684559,0.000684559,0.000684559
20,5807.62,0.77924,1.40861,0.99525,1.0349,0,0.66448,0.73315,0.70577,0.52691,0.55604,0.63222,0.60304,0.45416,0.92159,1.32614,1.30185,1.17666,0,0.000676313,0.000676313,0.000676313
21,6793.06,0.76177,1.39714,0.98381,1.04354,0,0.58295,0.74719,0.63237,0.48964,0.47786,0.65644,0.53125,0.39406,0.90638,1.34187,1.2807,1.18391,0,0.000668066,0.000668066,0.000668066
22,6968.42,0.73463,1.37654,0.95502,1.02715,0,0.54354,0.70511,0.66831,0.50399,0.43374,0.58181,0.54503,0.40268,0.94672,1.49431,1.40664,1.14346,0,0.000659819,0.000659819,0.000659819
23,7148.07,0.75438,1.40641,0.96358,1.02654,0,0.5777,0.67275,0.6524,0.51227,0.4689,0.55368,0.53524,0.39137,0.88843,1.41541,1.31381,1.15635,0,0.000651573,0.000651573,0.000651573
24,7555.57,0.7478,1.35298,0.96056,1.02298,0,0.6102,0.63936,0.6744,0.52896,0.50326,0.51986,0.55034,0.41716,0.89256,1.43642,1.28479,1.14804,0,0.000643326,0.000643326,0.000643326
25,9806.24,0.74217,1.36073,0.9494,1.02498,0,0.61715,0.67713,0.66796,0.50891,0.51282,0.55071,0.54155,0.40318,0.89341,1.40285,1.27955,1.17899,0,0.000635079,0.000635079,0.000635079
26,10653.7,0.72166,1.28592,0.92603,1.01859,0,0.60321,0.77552,0.68176,0.54958,0.48439,0.65822,0.55872,0.43737,0.86512,1.30595,1.25165,1.1459,0,0.000626832,0.000626832,0.000626832
27,11004.3,0.72969,1.31151,0.90454,1.01781,0,0.58624,0.70015,0.68362,0.52747,0.52738,0.6102,0.58313,0.43364,0.89299,1.34034,1.20764,1.1409,0,0.000618586,0.000618586,0.000618586
28,11222.5,0.71871,1.35101,0.90954,1.00857,0,0.63519,0.68122,0.68823,0.54449,0.52217,0.55956,0.57715,0.4562,0.88914,1.43638,1.24757,1.14472,0,0.000610339,0.000610339,0.000610339
29,11479.9,0.70769,1.31803,0.89019,1.00831,0,0.66043,0.66,0.67975,0.52148,0.49604,0.62981,0.56414,0.42321,0.89155,1.3969,1.22209,1.17523,0,0.000602092,0.000602092,0.000602092
30,11697.5,0.72871,1.28787,0.88603,1.00395,0,0.54937,0.70721,0.66739,0.5146,0.44335,0.57855,0.55188,0.4161,0.82893,1.41224,1.23113,1.10691,0,0.000593846,0.000593846,0.000593846
31,11911.7,0.7244,1.30288,0.88086,1.00274,0,0.62098,0.65135,0.67331,0.5229,0.50952,0.53449,0.55626,0.42333,0.84534,1.45916,1.25261,1.12679,0,0.000585599,0.000585599,0.000585599
32,12124.2,0.71497,1.28426,0.87287,1.0046,0,0.56287,0.74714,0.66198,0.50055,0.45478,0.63872,0.54874,0.39202,0.88307,1.42224,1.25539,1.17472,0,0.000577352,0.000577352,0.000577352
33,12457,0.70405,1.26558,0.87618,1.0035,0,0.6193,0.65994,0.67016,0.49961,0.50497,0.54209,0.54808,0.3947,0.90752,1.35725,1.26511,1.17106,0,0.000569106,0.000569106,0.000569106
34,13260.2,0.70089,1.26984,0.85022,1.0007,0,0.58929,0.69383,0.66106,0.4927,0.48163,0.57651,0.54508,0.38878,0.86738,1.41754,1.24327,1.14718,0,0.000560859,0.000560859,0.000560859
35,13487.7,0.68905,1.25655,0.85448,0.9989,0,0.61315,0.69932,0.66897,0.50607,0.50365,0.5557,0.54213,0.39117,0.8866,1.38956,1.22595,1.154,0,0.000552612,0.000552612,0.000552612
36,13663.9,0.69312,1.25992,0.83552,0.99565,0,0.61609,0.71191,0.68712,0.5301,0.49628,0.59499,0.56639,0.4197,0.89896,1.2094,1.20947,1.1685,0,0.000544365,0.000544365,0.000544365
37,13862.8,0.70269,1.28391,0.84963,1.00197,0,0.57676,0.71366,0.68616,0.51735,0.45273,0.60044,0.5543,0.42306,0.87214,1.27795,1.18569,1.14097,0,0.000536119,0.000536119,0.000536119
38,14776,0.68016,1.23094,0.83484,0.98348,0,0.61959,0.65002,0.67833,0.51526,0.49529,0.53069,0.55678,0.40702,0.84903,1.30868,1.16497,1.13366,0,0.000527872,0.000527872,0.000527872
39,14959.4,0.68951,1.27033,0.84039,1.00446,0,0.62654,0.67991,0.68251,0.51022,0.57216,0.59416,0.57998,0.43123,0.87936,1.34107,1.18294,1.16634,0,0.000519625,0.000519625,0.000519625
40,15270.6,0.68,1.26197,0.82066,0.98985,0,0.64947,0.64737,0.6568,0.51646,0.53674,0.54506,0.5357,0.41683,0.82329,1.37829,1.14885,1.13967,0,0.000511379,0.000511379,0.000511379
41,15453.6,0.66829,1.22623,0.80311,0.98238,0,0.58912,0.65686,0.63839,0.50178,0.49354,0.54766,0.52026,0.39973,0.80312,1.27354,1.16017,1.13258,0,0.000503132,0.000503132,0.000503132
42,16105.9,0.66363,1.19845,0.80998,0.99433,0,0.58607,0.70427,0.6742,0.53241,0.47161,0.58984,0.54955,0.43286,0.84634,1.17396,1.10524,1.14596,0,0.000494885,0.000494885,0.000494885
43,16291.5,0.67504,1.21631,0.80885,0.98519,0,0.55757,0.65338,0.65577,0.49775,0.44293,0.53012,0.52675,0.39153,0.88326,1.33982,1.2304,1.18052,0,0.000486639,0.000486639,0.000486639
44,17132,0.65655,1.21041,0.79669,0.98738,0,0.73442,0.69188,0.68336,0.53201,0.62882,0.57433,0.56943,0.42612,0.87229,1.41917,1.12987,1.19703,0,0.000478392,0.000478392,0.000478392
45,17656.6,0.65287,1.22642,0.78516,0.98626,0,0.655,0.65672,0.71062,0.53614,0.51374,0.53677,0.59105,0.44823,0.88165,1.35421,1.16834,1.18652,0,0.000470145,0.000470145,0.000470145
46,24569,0.65958,1.19371,0.78487,0.97667,0,0.62238,0.69315,0.68584,0.52794,0.49872,0.59826,0.57076,0.43477,0.8395,1.29331,1.20649,1.13088,0,0.000461898,0.000461898,0.000461898
47,26214.3,0.64527,1.18455,0.75735,0.96937,0,0.62773,0.68057,0.661,0.4884,0.51747,0.57025,0.54621,0.39559,0.90887,1.29107,1.20845,1.17601,0,0.000453652,0.000453652,0.000453652
48,26775.5,0.64017,1.18211,0.76339,0.97422,0,0.64981,0.65042,0.70485,0.54902,0.54834,0.52727,0.58769,0.43841,0.86036,1.40269,1.1325,1.14975,0,0.000445405,0.000445405,0.000445405
49,28975.2,0.64462,1.17411,0.77017,0.97473,0,0.75523,0.64096,0.68281,0.52292,0.63568,0.53933,0.57088,0.42235,0.88739,1.32735,1.17239,1.21488,0,0.000437158,0.000437158,0.000437158
50,29168.1,0.64492,1.18601,0.75722,0.97192,0,0.57198,0.72353,0.65999,0.51607,0.47114,0.62091,0.56411,0.41039,0.85928,1.46242,1.13997,1.18615,0,0.000428912,0.000428912,0.000428912
51,29349.3,0.64784,1.17165,0.77376,0.97482,0,0.59308,0.73827,0.697,0.53545,0.47872,0.61983,0.57398,0.40848,0.86656,1.47231,1.0897,1.17534,0,0.000420665,0.000420665,0.000420665
52,29537,0.62899,1.13266,0.73864,0.96874,0,0.62665,0.70122,0.68624,0.54084,0.52314,0.59607,0.57437,0.42235,0.87196,1.36696,1.0817,1.2011,0,0.000412418,0.000412418,0.000412418
53,29735.3,0.6545,1.21749,0.74841,0.97413,0,0.61402,0.71004,0.69053,0.54607,0.53124,0.61235,0.57247,0.43131,0.81406,1.40789,1.05109,1.17471,0,0.000404172,0.000404172,0.000404172
54,29945,0.62416,1.13604,0.72087,0.96095,0,0.61454,0.72349,0.71301,0.5634,0.5085,0.58984,0.59611,0.46202,0.85103,1.45068,1.03713,1.18065,0,0.000395925,0.000395925,0.000395925
55,30152.2,0.63095,1.12593,0.70744,0.96231,0,0.6566,0.70748,0.71733,0.57531,0.54148,0.58791,0.59385,0.46019,0.82432,1.39127,1.01823,1.1555,0,0.000387678,0.000387678,0.000387678
