epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,284.324,0.67411,1.27771,0.80663,1.0014,0,0.64475,0.75884,0.71528,0.52422,0.52608,0.63735,0.58384,0.42534,0.91656,1.35991,1.14606,1.19572,0,0.000271496,0.000271496,0.000271496
2,1981.34,0.69394,1.23579,0.79467,0.98644,0,0.66068,0.66195,0.69812,0.52758,0.56672,0.5607,0.60078,0.44018,0.94842,1.26598,1.17514,1.19461,0,0.000539455,0.000539455,0.000539455
3,2190.64,0.70508,1.22903,0.82502,0.99713,0,0.5619,0.68661,0.61791,0.46097,0.42981,0.55782,0.48514,0.34627,0.97203,1.52601,1.25478,1.23364,0,0.000797595,0.000797595,0.000797595
4,2787.18,0.69207,1.24684,0.81737,0.99475,0,0.64086,0.6381,0.6734,0.46049,0.54068,0.48906,0.54679,0.36725,1.07084,1.76359,1.30386,1.29941,0,0.000788821,0.000788821,0.000788821
5,2996.17,0.70886,1.27273,0.82582,1.00392,0,0.58535,0.68621,0.69473,0.50982,0.47439,0.56954,0.56319,0.42025,0.97135,1.55358,1.21997,1.24052,0,0.000774095,0.000774095,0.000774095
6,3223.26,0.70247,1.24932,0.82253,0.99995,0,0.66223,0.60469,0.65401,0.48907,0.5824,0.50905,0.54981,0.39194,0.97166,1.44363,1.24974,1.23111,0,0.000759369,0.000759369,0.000759369
7,3509.49,0.71732,1.24924,0.82174,1.00535,0,0.59761,0.70698,0.65613,0.48386,0.48737,0.60334,0.54581,0.39397,0.97373,1.31266,1.276,1.22669,0,0.000744643,0.000744643,0.000744643
8,3812.75,0.70584,1.26157,0.81459,0.99719,0,0.57957,0.73931,0.65831,0.49166,0.49348,0.64907,0.54672,0.40096,0.91521,1.32157,1.21993,1.17808,0,0.000729916,0.000729916,0.000729916
9,4113.69,0.69853,1.23811,0.80179,0.99592,0,0.52747,0.68928,0.64681,0.49703,0.4208,0.56598,0.52766,0.3759,0.8946,1.44571,1.19255,1.21668,0,0.00071519,0.00071519,0.00071519
10,4414.54,0.68926,1.26649,0.79208,0.99575,0,0.58733,0.66441,0.69905,0.52711,0.43069,0.6282,0.5797,0.43224,0.93847,1.30031,1.16544,1.20618,0,0.000700464,0.000700464,0.000700464
11,4703.84,0.67552,1.24411,0.77512,0.98273,0,0.57072,0.71127,0.68448,0.52779,0.4731,0.58189,0.57735,0.42154,0.87268,1.27894,1.11658,1.1603,0,0.000685737,0.000685737,0.000685737
12,4992.71,0.66606,1.211,0.76138,0.98024,0,0.56122,0.66,0.64917,0.49479,0.45041,0.556,0.52965,0.39286,0.91164,1.4605,1.26535,1.22873,0,0.000671011,0.000671011,0.000671011
13,5282.46,0.68789,1.25138,0.78109,0.98863,0,0.55417,0.75672,0.67647,0.51429,0.47256,0.55951,0.55269,0.41513,0.90578,1.46883,1.18334,1.2061,0,0.000656285,0.000656285,0.000656285
14,5571.49,0.67356,1.19459,0.76897,0.98372,0,0.64817,0.66906,0.68568,0.5196,0.49528,0.58297,0.57092,0.41024,0.91976,1.445,1.11747,1.21817,0,0.000641559,0.000641559,0.000641559
15,5858.43,0.65443,1.21303,0.75831,0.98,0,0.58739,0.71767,0.67998,0.51226,0.46896,0.59796,0.55635,0.41171,0.93818,1.45479,1.11892,1.20942,0,0.000626832,0.000626832,0.000626832
16,6146.12,0.67311,1.17891,0.75623,0.98645,0,0.65186,0.64369,0.6703,0.49476,0.52864,0.53404,0.54887,0.40247,0.89319,1.40692,1.10361,1.22258,0,0.000612106,0.000612106,0.000612106
17,6386.16,0.67561,1.22259,0.75343,0.99406,0,0.53485,0.75982,0.67575,0.49586,0.43986,0.65242,0.57002,0.42163,0.92353,1.53715,1.19515,1.22463,0,0.00059738,0.00059738,0.00059738
18,7087.69,0.66998,1.19549,0.74196,0.98779,0,0.56998,0.7577,0.69547,0.52411,0.45711,0.64176,0.57315,0.41588,0.873,1.4152,1.1301,1.2249,0,0.000582654,0.000582654,0.000582654
19,7392.67,0.65587,1.13722,0.72999,0.98063,0,0.5628,0.78724,0.71209,0.55821,0.54326,0.56217,0.59824,0.46722,0.90822,1.34006,1.09929,1.19328,0,0.000567928,0.000567928,0.000567928
20,7698.36,0.66093,1.19388,0.74188,0.98277,0,0.72202,0.72899,0.72478,0.56695,0.47862,0.63096,0.61197,0.45663,0.87264,1.37176,1.05213,1.20072,0,0.000553201,0.000553201,0.000553201
21,7885.37,0.64841,1.1544,0.72319,0.99083,0,0.59111,0.73129,0.66971,0.51576,0.47364,0.61686,0.55833,0.44395,0.86539,1.48221,1.13137,1.20049,0,0.000538475,0.000538475,0.000538475
22,8067.59,0.63712,1.15561,0.70576,0.97836,0,0.57309,0.76834,0.69546,0.54578,0.63255,0.56379,0.59177,0.45943,0.89346,1.565,1.12462,1.21856,0,0.000523749,0.000523749,0.000523749
23,8258.83,0.64857,1.18911,0.70456,0.97073,0,0.56379,0.79546,0.66805,0.53049,0.45777,0.6093,0.54215,0.41741,0.8361,1.46582,1.12985,1.14156,0,0.000509022,0.000509022,0.000509022
24,8457.02,0.63525,1.15518,0.7018,0.96599,0,0.78897,0.68147,0.74739,0.57856,0.66443,0.57158,0.62376,0.46326,0.84033,1.3574,1.04374,1.17468,0,0.000494296,0.000494296,0.000494296
25,8664.91,0.63021,1.14005,0.70521,0.96855,0,0.65627,0.7269,0.70632,0.55355,0.53568,0.62561,0.59005,0.44172,0.81652,1.31317,1.08775,1.19217,0,0.00047957,0.00047957,0.00047957
26,8878.08,0.6177,1.08849,0.68193,0.96497,0,0.62892,0.70728,0.68559,0.53054,0.51166,0.58352,0.56559,0.4283,0.8279,1.28993,1.12286,1.18641,0,0.000464844,0.000464844,0.000464844
